STATION,STATION_NAME,DATE,HLY-DEWP-NORMAL,HLY-HIDX-NORMAL,HLY-TEMP-NORMAL,HLY-WCHL-NORMAL,HLY-WIND-AVGSPD
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 22:00,362,502,502,475,96
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100328 23:00,361,491,491,462,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 00:00,363,483,483,452,94
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 01:00,362,475,475,444,91
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 02:00,362,469,469,434,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 03:00,362,462,462,428,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 04:00,359,456,456,419,86
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 05:00,360,452,451,415,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 06:00,357,448,447,410,87
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 07:00,362,455,455,418,89
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 08:00,365,476,476,442,99
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 09:00,365,499,499,466,109
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 10:00,366,521,520,494,114
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 11:00,366,542,542,520,116
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 12:00,368,560,560,540,121
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 13:00,368,575,575,561,122
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 14:00,367,586,586,572,123
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 15:00,366,591,591,578,123
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 16:00,365,588,588,574,127
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 17:00,366,581,581,566,126
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 18:00,363,565,565,547,120
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 19:00,360,544,544,524,108
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 20:00,364,530,529,506,104
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 21:00,367,516,516,491,99
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 22:00,366,507,507,481,96
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100329 23:00,367,496,496,468,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100330 00:00,367,488,488,459,93
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100330 01:00,367,480,480,450,90
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100330 02:00,367,474,474,440,86
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100330 03:00,366,467,466,435,88
GHCND:USW00013743,WASHINGTON REAGAN NATIONAL AIRPORT VA US,20100330 04:00,365,461,461,426,86
